NameString,RefString
"Mecyclothorax planipennis Liebherr, 2015","LIEBHERR, James Kenneth. The Mecyclothorax beetles (Coleoptera, Carabidae, Moriomorphini) of Halekala, Maui: Keystone of a hyperdiverse Hawaiian radiation. -. ZooKeys, 544: 1-407. (2015)."
Nolanea proletaria,"In: sensu Ricken.; fide Noordeloos (Fungi Europaei, vol. 5. Entoloma s.l.: 243. 1992)."
Roycea spinescens C.A.Gardner,C. A. Gardner. In: Journ. Roy. Soc. W. Austral. 38: 79. (1948).
"Aphonomorphus (Furcaphonus) amazon Gorochov, 2010",
Pandanus boucheanus K.Koch,K.Koch. In: Wochenschr. Gärtnerei Pflanzenk. 1: 131. (1858).
Ophrys galilaea H.Fleischm. & Bornm.,H.Fleischm. & Bornm. In: Ann. Naturhist. Mus. Wien 36: 12. (1923).
Forsteronia luschnathii Müll.Arg.,"Müll. Arg. In: Mart., Fl. Bras. 6(1): 98. (1860)."
Gladiolus striatus Roem. & Schult.,"Roem. & Schult. In: Syst. Veg., ed. 15 bis 1: 435. (1817)."
"Microsania boycei Chandler, 1994",
"Agaricus rubromarginatus Fr., 1815","Fries, E.M. In: Observ. mycol. (Havniae) 1:42. (1815)."
Cyphostemma lageniflorum (Gilg & Brandt) Descoings,"Descoings. In: Not. Syst., Paris, 16: 122 (1960), et Nat. Monspel., Ser. Bot., Fasc. 18, 223. (1967)."
Asteriscus daltonii daltonii,
"Dialeurodes pseudocitri Takahashi, 1942",
"Proarcestes bicarinatus (Münster, 1841)",G. Münster. Beiträge zur Geognosie und Petrefacten-Kunde des südöstlichen Tirols vorzüglich der Schichten von St. Cassian. II. Beschreibung und Abbildung der in den Kalkmergelschichten von St. Cassian gefunden Versteinerungen. Beiträge zur Petrefacten-Kunde: 25--152. (1841).
Athyrium chayuense Z.R.Wang,Z. R. Wang. In: Vasc. Pl. Hengduan Mount. 1: 84. (1993).
"Heteronemia praetermissa (Brunner von Wattenwyl, 1907)",
"Leptodesmus rubricus Schubart, 1955",
Piper pseudopsis C.DC. ex Pittier,"Pittier. In: Anal. Inst. Fis-Geog. Costa Rica, 8: 248, repr. (1898)."
Spergula arvensis var. gracilis E.Petit,E. Petit. In: Bot. Tidsskr. 14: 245. (1885).
"Ochrotomys nuttalli lisae Packard, 1969",
"Orthotrichia tragetti Mosely, 1930",
"Niphetia curtisiana (Enderlein, 1906)","Enderlein, G. Monographie der Coniopterygiden. Zoologische Jahrbücher (Abteilung für Systematik, Geographie und Biologie) 23:173-242. (1906)."
"Prosoeca beckeri Lichtwardt, 1920",
